YearMonth,Adjusted close price on the first business day of the month
BITCOIN,COTACAO:USD
2014-09,457.3340148925781
2014-10,383.614990234375
2014-11,325.7489929199219
2014-12,379.2449951171875
2015-01,314.2489929199219
2015-02,226.9720001220703
2015-03,260.2019958496094
2015-04,247.27200317382812
2015-05,232.07899475097656
2015-06,222.92599487304688
2015-07,258.6210021972656
2015-08,281.60101318359375
2015-09,228.12100219726562
2015-10,237.5489959716797
2015-11,325.4309997558594
2015-12,362.4880065917969
2016-01,434.3340148925781
2016-02,373.0559997558594
2016-03,435.12298583984375
2016-04,417.9599914550781
2016-05,451.875
2016-06,536.9199829101562
2016-07,676.2960205078125
2016-08,606.27197265625
2016-09,572.302978515625
2016-10,613.9829711914062
2016-11,729.7930297851562
2016-12,756.7739868164062
2017-01,998.3250122070312
2017-02,989.0230102539062
2017-03,1222.5
2017-04,1080.5
2017-05,1421.5999755859375
2017-06,2407.8798828125
2017-07,2434.550048828125
2017-08,2718.260009765625
2017-09,4892.009765625
2017-10,4403.740234375
2017-11,6767.31005859375
2017-12,10975.599609375
2018-01,13657.2001953125
2018-02,9170.5400390625
2018-03,10951.0
2018-04,6844.22998046875
2018-05,9119.009765625
2018-06,7541.4501953125
2018-07,6385.81982421875
2018-08,7624.91015625
2018-09,7193.25
2018-10,6589.6201171875
2018-11,6377.77978515625
2018-12,4214.671875
2019-01,3843.52001953125
2019-02,3487.9453125
2019-03,3859.583740234375
2019-04,4158.18310546875
2019-05,5402.697265625
2019-06,8564.0166015625
2019-07,10583.134765625
2019-08,10399.6689453125
2019-09,9757.970703125
2019-10,8343.2763671875
2019-11,9261.1044921875
2019-12,7424.29248046875
2020-01,7200.17431640625
2020-02,9392.875
2020-03,8562.4541015625
2020-04,6606.7763671875
2020-05,8864.7666015625
2020-06,10167.2685546875
2020-07,9228.3251953125
2020-08,11759.5927734375
2020-09,11970.478515625
2020-10,10619.4521484375
2020-11,13737.109375
2020-12,18802.998046875
2021-01,29374.15234375
2021-02,33537.17578125
2021-03,49631.2421875
2021-04,59095.80859375
2021-05,57828.05078125
2021-06,36684.92578125
2021-07,33572.1171875
2021-08,39974.89453125
2021-09,48847.02734375
2021-10,48116.94140625
2021-11,61004.40625
2021-12,57229.828125
2022-01,47686.8125
2022-02,38743.2734375
2022-03,44354.63671875
2022-04,46281.64453125
2022-05,38469.09375
2022-06,29799.080078125
2022-07,19269.3671875
2022-08,23314.19921875
2022-09,20127.140625
2022-10,19312.095703125
2022-11,20485.2734375
2022-12,16967.1328125
2023-01,16625.080078125
2023-02,23723.76953125
2023-03,23646.55078125
2023-04,28411.03515625
2023-05,28091.568359375
2023-06,26819.97265625
2023-07,30590.078125
2023-08,29675.732421875
2023-09,25800.724609375
2023-10,27983.75
2023-11,35437.25390625
2023-12,38688.75
2024-01,44167.33203125
2024-02,43075.7734375
2024-03,62440.6328125
2024-04,69702.1484375
2024-05,58254.01171875
2024-06,67706.9375
2024-07,62851.98046875
2024-08,65357.5
2024-09,57325.48828125
2024-10,60837.0078125
2024-11,69482.46875
2024-12,97279.7890625
2025-01,94419.7578125
2025-02,100655.90625
2025-03,86031.9140625
2025-04,85169.171875
2025-05,96492.3359375
2025-06,105652.1015625
2025-07,105698.28125
