YearMonth,Adjusted close price on the first business day of the month
IBOVESPA,COTACAO:BRL
1994-01,380.1000061035156
1994-02,826.9000244140625
1994-03,1073.300048828125
1994-04,1355.0
1994-05,1725.699951171875
1994-06,2526.5
1994-07,3580.89990234375
1994-08,4152.0
1994-09,5436.89990234375
1994-10,5335.10009765625
1994-11,4700.89990234375
1994-12,4652.2998046875
1995-01,4301.0
1995-02,3989.800048828125
1995-03,2989.10009765625
1995-04,2893.5
1995-05,3861.5
1995-06,3773.60009765625
1995-07,3594.39990234375
1995-08,3870.800048828125
1995-09,4450.0
1995-10,4538.0
1995-11,4099.7998046875
1995-12,4346.0
1996-01,4390.10009765625
1996-02,5269.39990234375
1996-03,5083.39990234375
1996-04,5009.2998046875
1996-05,5146.0
1996-06,5635.10009765625
1996-07,6156.2001953125
1996-08,6277.2998046875
1996-09,6232.5
1996-10,6521.7998046875
1996-11,6641.2001953125
1996-12,6735.60009765625
1997-01,6955.5
1997-02,8095.89990234375
1997-03,8978.0
1997-04,9138.0
1997-05,10074.0
1997-06,11361.0
1997-07,13002.0
1997-08,12259.0
1997-09,10109.0
1997-10,12173.0
1997-11,9858.0
1997-12,9648.0
1998-01,10480.0
1998-02,9973.0
1998-03,10845.0
1998-04,11837.0
1998-05,11507.0
1998-06,9605.0
1998-07,9915.0
1998-08,10413.0
1998-09,6917.0
1998-10,5960.0
1998-11,7509.0
1998-12,8545.0
1999-01,6942.0
1999-02,8891.0
1999-03,9198.0
1999-04,11022.0
1999-05,11437.0
1999-06,11051.0
1999-07,11708.0
1999-08,10211.0
1999-09,10902.0
1999-10,10960.0
1999-11,11763.0
1999-12,13874.0
2000-01,16930.0
2000-02,16522.0
2000-03,17953.0
2000-04,17245.0
2000-05,15524.0
2000-06,15450.0
2000-07,17089.0
2000-08,16290.0
2000-09,17577.0
2000-10,15559.0
2000-11,14791.0
2000-12,13437.0
2001-01,15425.0
2001-02,17039.0
2001-03,16417.0
2001-04,13981.0
2001-05,14897.0
2001-06,14792.0
2001-07,14555.0
2001-08,13743.0
2001-09,12800.0
2001-10,10501.0
2001-11,11388.0
2001-12,13336.0
2002-01,13872.0
2002-02,12659.0
2002-03,14343.0
2002-04,13467.0
2002-05,12538.0
2002-06,12659.0
2002-07,10892.0
2002-08,9760.0
2002-09,10378.0
2002-10,8998.0
2002-11,10140.0
2002-12,10674.0
2003-01,11603.0
2003-02,10910.0
2003-03,10306.0
2003-04,11592.0
2003-05,12810.0
2003-06,13229.0
2003-07,13291.0
2003-08,13130.0
2003-09,15352.0
2003-10,16579.0
2003-11,18517.0
2003-12,20521.0
2004-01,22445.0
2004-02,21787.0
2004-03,22499.0
2004-04,22647.0
2004-05,19709.0
2004-06,19546.0
2004-07,21349.0
