YearMonth,Year Tax on the first business day of the month
Bond Short,TAXA_ANUAL:USD
1994-01,3.0299999713897705
1994-02,3.0299999713897705
1994-03,3.490000009536743
1994-04,3.6500000953674316
1994-05,3.9100000858306885
1994-06,4.179999828338623
1994-07,4.190000057220459
1994-08,4.28000020980835
1994-09,4.539999961853027
1994-10,4.71999979019165
1994-11,5.079999923706055
1994-12,5.550000190734863
1995-01,5.519999980926514
1995-02,5.880000114440918
1995-03,5.75
1995-04,5.690000057220459
1995-05,5.699999809265137
1995-06,5.510000228881836
1995-07,5.440000057220459
1995-08,5.440000057220459
1995-09,5.269999980926514
1995-10,5.25
1995-11,5.320000171661377
1995-12,5.289999961853027
1996-01,4.96999979019165
1996-02,4.889999866485596
1996-03,4.860000133514404
1996-04,5.03000020980835
1996-05,4.96999979019165
1996-06,5.079999923706055
1996-07,5.070000171661377
1996-08,5.099999904632568
1996-09,5.179999828338623
1996-10,4.96999979019165
1996-11,5.019999980926514
1996-12,4.940000057220459
1997-01,5.050000190734863
1997-02,4.96999979019165
1997-03,5.090000152587891
1997-04,5.159999847412109
1997-05,5.090000152587891
1997-06,4.78000020980835
1997-07,5.099999904632568
1997-08,5.130000114440918
1997-09,5.050000190734863
1997-10,4.960000038146973
1997-11,5.099999904632568
1997-12,5.090000152587891
1998-01,5.170000076293945
1998-02,5.090000152587891
1998-03,5.170000076293945
1998-04,4.96999979019165
1998-05,4.880000114440918
1998-06,4.860000133514404
1998-07,4.949999809265137
1998-08,4.96999979019165
1998-09,4.769999980926514
1998-10,4.130000114440918
1998-11,4.300000190734863
1998-12,4.380000114440918
1999-01,4.369999885559082
1999-02,4.409999847412109
1999-03,4.579999923706055
1999-04,4.300000190734863
1999-05,4.460000038146973
1999-06,4.539999961853027
1999-07,4.570000171661377
1999-08,4.650000095367432
1999-09,4.820000171661377
1999-10,4.710000038146973
1999-11,4.980000019073486
1999-12,5.099999904632568
2000-01,5.269999980926514
2000-02,5.550000190734863
2000-03,5.599999904632568
2000-04,5.690000057220459
2000-05,5.670000076293945
2000-06,5.559999942779541
2000-07,5.869999885559082
2000-08,6.059999942779541
2000-09,6.079999923706055
2000-10,6.010000228881836
2000-11,6.170000076293945
2000-12,6.039999961853027
2001-01,5.679999828338623
2001-02,4.849999904632568
2001-03,4.699999809265137
2001-04,4.150000095367432
2001-05,3.809999942779541
2001-06,3.5399999618530273
2001-07,3.559999942779541
2001-08,3.430000066757202
2001-09,3.359999895095825
2001-10,2.299999952316284
2001-11,2.009999990463257
2001-12,1.7400000095367432
2002-01,1.7000000476837158
2002-02,1.7100000381469727
2002-03,1.75
2002-04,1.7599999904632568
2002-05,1.7200000286102295
2002-06,1.715000033378601
2002-07,1.6770000457763672
2002-08,1.6419999599456787
2002-09,1.6050000190734863
2002-10,1.5520000457763672
2002-11,1.3969999551773071
2002-12,1.2050000429153442
2003-01,1.190000057220459
2003-02,1.1519999504089355
2003-03,1.1720000505447388
2003-04,1.0950000286102295
2003-05,1.0770000219345093
2003-06,1.1019999980926514
2003-07,0.8679999709129333
2003-08,0.9179999828338623
2003-09,0.9520000219345093
2003-10,0.9100000262260437
2003-11,0.9210000038146973
2003-12,0.8970000147819519
2004-01,0.9020000100135803
2004-02,0.9020000100135803
2004-03,0.9359999895095825
2004-04,0.9160000085830688
2004-05,0.9589999914169312
2004-06,1.093000054359436
2004-07,1.1970000267028809
2004-08,1.4320000410079956
2004-09,1.5470000505447388
2004-10,1.656999945640564
2004-11,1.8819999694824219
2004-12,2.171999931335449
2005-01,2.2039999961853027
2005-02,2.4619998931884766
2005-03,2.691999912261963
2005-04,2.7269999980926514
2005-05,2.822000026702881
2005-06,2.9070000648498535
2005-07,3.0899999141693115
2005-08,3.3550000190734863
2005-09,3.365000009536743
2005-10,3.484999895095825
2005-11,3.861999988555908
2005-12,3.877000093460083
2006-01,4.019999980926514
2006-02,4.361999988555908
2006-03,4.486999988555908
2006-04,4.5269999504089355
2006-05,4.646999835968018
2006-06,4.706999778747559
2006-07,4.885000228881836
2006-08,4.985000133514404
2006-09,4.885000228881836
2006-10,4.760000228881836
2006-11,4.934999942779541
2006-12,4.889999866485596
2007-01,4.914999961853027
2007-02,4.989999771118164
2007-03,4.989999771118164
2007-04,4.90500020980835
2007-05,4.755000114440918
2007-06,4.65500020980835
2007-07,4.730000019073486
2007-08,4.739999771118164
2007-09,4.28000020980835
2007-10,3.7950000762939453
2007-11,3.7049999237060547
2007-12,2.9600000381469727
2008-01,3.1700000762939453
2008-02,2.049999952316284
2008-03,1.6349999904632568
2008-04,1.3550000190734863
2008-05,1.3700000047683716
2008-06,1.7899999618530273
2008-07,1.8250000476837158
2008-08,1.6299999952316284
2008-09,1.649999976158142
2008-10,0.800000011920929
2008-11,0.41999998688697815
2008-12,0.009999999776482582
2009-01,0.08500000089406967
2009-02,0.24500000476837158
2009-03,0.23000000417232513
2009-04,0.20999999344348907
2009-05,0.14499999582767487
2009-06,0.08500000089406967
2009-07,0.16500000655651093
2009-08,0.17499999701976776
2009-09,0.12999999523162842
2009-10,0.0949999988079071
2009-11,0.03999999910593033
2009-12,0.05000000074505806
2010-01,0.054999999701976776
2010-02,0.08500000089406967
2010-03,0.11999999731779099
2010-04,0.15000000596046448
2010-05,0.1599999964237213
2010-06,0.14499999582767487
2010-07,0.16500000655651093
2010-08,0.14000000059604645
2010-09,0.12999999523162842
2010-10,0.15000000596046448
2010-11,0.10499999672174454
2010-12,0.1550000011920929
2011-01,0.11999999731779099
2011-02,0.15000000596046448
2011-03,0.12999999523162842
2011-04,0.054999999701976776
2011-05,0.029999999329447746
2011-06,0.03999999910593033
2011-07,0.009999999776482582
2011-08,0.07500000298023224
2011-09,0.009999999776482582
2011-10,0.019999999552965164
2011-11,0.004999999888241291
2011-12,0.014999999664723873
2012-01,0.004999999888241291
2012-02,0.054999999701976776
2012-03,0.07000000029802322
2012-04,0.05999999865889549
2012-05,0.08500000089406967
2012-06,0.06499999761581421
2012-07,0.07000000029802322
2012-08,0.09000000357627869
2012-09,0.09000000357627869
2012-10,0.07999999821186066
2012-11,0.09000000357627869
2012-12,0.07699999958276749
2013-01,0.054999999701976776
2013-02,0.05999999865889549
2013-03,0.10000000149011612
2013-04,0.06499999761581421
2013-05,0.05000000074505806
2013-06,0.029999999329447746
2013-07,0.009999999776482582
2013-08,0.03500000014901161
2013-09,0.014999999664723873
2013-10,0.013000000268220901
2013-11,0.032999999821186066
2013-12,0.05000000074505806
