YearMonth,Adjusted close price on the first business day of the month
Dólar em Reais,CAMBIO:BRL
1994-07,1.0
1994-08,0.932
1994-09,0.885
1994-10,0.849
1994-11,0.845
1994-12,0.848
1995-01,0.845
1995-02,0.843
1995-03,0.85
1995-04,0.902
1995-05,0.914
1995-06,0.908
1995-07,0.92
1995-08,0.936
1995-09,0.951
1995-10,0.9555
1995-11,0.963
1995-12,0.9666
1996-01,0.9726
1996-02,0.9786
1996-03,0.984
1996-04,0.9881
1996-05,0.9925
1996-06,0.9986
1996-07,1.0045
1996-08,1.0108
1996-09,1.0165
1996-10,1.0215
1996-11,1.028
1996-12,1.0331
1997-01,1.0395
1997-02,1.0457
1997-03,1.0515
1997-04,1.0594
1997-05,1.0643
1997-06,1.0709
1997-07,1.0771
1997-08,1.0835
1997-09,1.0914
1997-10,1.0967
1997-11,1.103
1997-12,1.1096
1998-01,1.1165
1998-02,1.1236
1998-03,1.1305
1998-04,1.1375
1998-05,1.1442
1998-06,1.152
1998-07,1.1572
1998-08,1.1643
1998-09,1.1772
1998-10,1.1807
1998-11,1.1929
1998-12,1.2016
1999-01,1.2078
1999-02,1.9638
1999-03,2.0284
1999-04,1.7251
1999-05,1.6735
1999-06,1.7336
1999-07,1.7575
1999-08,1.8115
1999-09,1.9217
1999-10,1.9565
1999-11,1.9431
1999-12,1.9221
2000-01,1.8011
2000-02,1.7932
2000-03,1.7678
2000-04,1.7407
2000-05,1.8008
2000-06,1.8202
2000-07,1.808
2000-08,1.788
2000-09,1.8218
2000-10,1.8483
2000-11,1.9099
2000-12,1.9795
2001-01,1.9376
2001-02,1.9731
2001-03,2.042
2001-04,2.1576
2001-05,2.2231
2001-06,2.3825
2001-07,2.3241
2001-08,2.4927
2001-09,2.5582
2001-10,2.6858
2001-11,2.6812
2001-12,2.4664
2002-01,2.3058
2002-02,2.4153
2002-03,2.3588
2002-04,2.3212
2002-05,2.3762
2002-06,2.5405
2002-07,2.8587
2002-08,3.3267
2002-09,3.0278
2002-10,3.7459
2002-11,3.6105
2002-12,3.6152
2003-01,3.5216
2003-02,3.4922
2003-03,3.5629
2003-04,3.3351
2003-05,2.9151
2003-06,2.9772
2003-07,2.8435
2003-08,2.9998
2003-09,2.9832
2003-10,2.9026
2003-11,2.8551
2003-12,2.9333
2004-01,2.8854
2004-02,2.9478
2004-03,2.8937
2004-04,2.8896
2004-05,2.9561
2004-06,3.1559
2004-07,3.0739
2004-08,3.0458
2004-09,2.929
2004-10,2.8505
2004-11,2.8582
2004-12,2.7137
2005-01,2.6674
2005-02,2.6122
2005-03,2.6003
2005-04,2.6542
2005-05,2.5138
2005-06,2.4278
2005-07,2.3451
2005-08,2.3777
2005-09,2.3615
2005-10,2.2331
2005-11,2.2508
2005-12,2.2169
2006-01,2.3362
2006-02,2.2209
2006-03,2.1547000408172607
2006-04,2.147900104522705
2006-05,2.0687999725341797
2006-06,2.267199993133545
2006-07,2.1570000648498535
2006-08,2.184499979019165
2006-09,2.145699977874756
2006-10,2.1530001163482666
2006-11,2.1368000507354736
2006-12,2.1579999923706055
2007-01,2.132499933242798
2007-02,2.1031999588012695
2007-03,2.119499921798706
2007-04,2.0434999465942383
2007-05,2.027899980545044
2007-06,1.9002000093460083
2007-07,1.912500023841858
2007-08,1.8779000043869019
2007-09,1.9510999917984009
2007-10,1.815999984741211
2007-11,1.7395000457763672
2007-12,1.780500054359436
2008-01,1.767300009727478
2008-02,1.752500057220459
2008-03,1.6740000247955322
2008-04,1.7228000164031982
2008-05,1.6425000429153442
2008-06,1.628999948501587
2008-07,1.5963000059127808
2008-08,1.6371999979019165
2008-09,1.6380000114440918
2008-10,1.9270999431610107
2008-11,2.1194000244140625
2008-12,2.3450000286102295
2009-01,2.3239998817443848
2009-02,2.3399999141693115
2009-03,2.437000036239624
2009-04,2.2785000801086426
2009-05,2.180000066757202
2009-06,1.940999984741211
2009-07,1.9279999732971191
2009-08,1.8329999446868896
2009-09,1.9129999876022339
2009-10,1.7796000242233276
2009-11,1.7608000040054321
2009-12,1.7245999574661255
2010-01,1.718999981880188
2010-02,1.8624000549316406
2010-03,1.7979999780654907
2010-04,1.7654000520706177
2010-05,1.7309999465942383
2010-06,1.8339999914169312
2010-07,1.7989000082015991
2010-08,1.742900013923645
2010-09,1.750100016593933
2010-10,1.6960999965667725
2010-11,1.6461999416351318
2010-12,1.7144999504089355
2011-01,1.6154999732971191
2011-02,1.6670000553131104
2011-03,1.6588000059127808
2011-04,1.6272000074386597
2011-05,1.5633000135421753
2011-06,1.5786999464035034
2011-07,1.561400055885315
2011-08,1.5464999675750732
2011-09,1.5824999809265137
2011-10,1.847000002861023
2011-11,1.6923999786376953
2011-12,1.8079999685287476
2012-01,1.8623000383377075
2012-02,1.7447999715805054
2012-03,1.716599941253662
2012-04,1.825700044631958
2012-05,1.9057999849319458
2012-06,2.0253000259399414
2012-07,2.008699893951416
2012-08,2.0566999912261963
2012-09,2.0276999473571777
2012-10,2.022599935531616
2012-11,2.027899980545044
2012-12,2.1338999271392822
2013-01,2.0506999492645264
2013-02,1.9905999898910522
2013-03,1.9776999950408936
2013-04,2.0190000534057617
2013-05,2.001499891281128
2013-06,2.089900016784668
2013-07,2.189199924468994
2013-08,2.273699998855591
2013-09,2.38070011138916
2013-10,2.2170000076293945
2013-11,2.231800079345703
2013-12,2.3308000564575195
2014-01,2.3592000007629395
2014-02,2.422300100326538
2014-03,2.333400011062622
2014-04,2.2692999839782715
2014-05,2.2279999256134033
2014-06,2.236799955368042
2014-07,2.211699962615967
2014-08,2.2602999210357666
2014-09,2.231600046157837
2014-10,2.4358999729156494
2014-11,2.4135000705718994
2014-12,2.5315001010894775
2015-01,2.6542000770568848
2015-02,2.678800106048584
2015-03,2.8368000984191895
2015-04,3.188499927520752
2015-05,3.0111000537872314
2015-06,3.175800085067749
2015-07,3.1080000400543213
2015-08,3.4193999767303467
2015-09,3.6191999912261963
2015-10,3.94569993019104
2015-11,3.8513998985290527
2015-12,3.8666000366210938
2016-01,3.950000047683716
2016-02,3.9971001148223877
2016-03,4.012899875640869
2016-04,3.5864999294281006
2016-05,3.432800054550171
2016-06,3.583199977874756
2016-07,3.205899953842163
2016-08,3.2462000846862793
2016-09,3.2260000705718994
2016-10,3.2597999572753906
2016-11,3.198199987411499
2016-12,3.4063000679016113
2017-01,3.253200054168701
2017-02,3.150099992752075
2017-03,3.1080000400543213
2017-04,3.121799945831299
2017-05,3.176100015640259
2017-06,3.225100040435791
2017-07,3.1777000427246094
2017-08,3.1257998943328857
2017-09,3.1459999084472656
