YearMonth,Adjusted close price on the first business day of the month
Ouro,COTACAO:USD
1994-01,382.25
1994-02,381.5
1994-03,391.85
1994-04,376.95
1994-05,386.85
1994-06,385.75
1994-07,383.45
1994-08,386.25
1994-09,394.85
1994-10,384.0
1994-11,381.25
1994-12,382.85
1995-01,375.05
1995-02,376.85
1995-03,390.75
1995-04,386.75
1995-05,384.1
1995-06,384.4
1995-07,382.6
1995-08,382.45
1995-09,383.6
1995-10,382.55
1995-11,387.3
1995-12,387.1
1996-01,406.45
1996-02,399.75
1996-03,395.45
1996-04,391.65
1996-05,391.0
1996-06,380.45
1996-07,387.05
1996-08,386.75
1996-09,378.55
1996-10,377.95
1996-11,371.4
1996-12,368.05
1997-01,344.35
1997-02,363.25
1997-03,351.15
1997-04,339.35
1997-05,344.65
1997-06,333.95
1997-07,324.55
1997-08,324.15
1997-09,334.45
1997-10,311.45
1997-11,297.0
1997-12,289.05
1998-01,302.45
1998-02,299.15
1998-03,300.95
1998-04,306.65
1998-05,292.95
1998-06,296.95
1998-07,286.45
1998-08,276.65
1998-09,296.95
1998-10,292.55
1998-11,292.95
1998-12,288.25
1999-01,286.35
1999-02,286.8
1999-03,280.05
1999-04,286.65
1999-05,270.35
1999-06,262.5
1999-07,255.95
1999-08,255.55
1999-09,299.5
1999-10,299.3
1999-11,290.88
1999-12,288.25
2000-01,283.23
2000-02,292.12
2000-03,278.95
2000-04,273.5
2000-05,272.15
2000-06,290.1
2000-07,277.25
2000-08,277.75
2000-09,274.25
2000-10,265.05
2000-11,270.35
2000-12,272.4
2001-01,265.85
2001-02,267.25
2001-03,257.95
2001-04,264.05
2001-05,266.05
2001-06,270.85
2001-07,266.85
2001-08,274.45
2001-09,292.95
2001-10,279.65
2001-11,274.4
2001-12,278.95
2002-01,282.35
2002-02,296.95
2002-03,302.7
2002-04,308.35
2002-05,326.55
2002-06,314.62
2002-07,303.55
2002-08,312.75
2002-09,323.75
2002-10,317.8
2002-11,319.05
2002-12,347.0
2003-01,368.48
2003-02,349.85
2003-03,337.48
2003-04,339.62
2003-05,364.98
2003-06,346.4
2003-07,355.0
2003-08,375.57
2003-09,385.25
2003-10,384.4
2003-11,397.88
2003-12,415.05
2004-01,402.57
2004-02,396.45
2004-03,426.62
2004-04,387.6
2004-05,395.5
2004-06,394.38
2004-07,391.25
2004-08,409.82
2004-09,418.25
2004-10,428.52
2004-11,450.88
2004-12,438.45
2005-01,422.62
2005-02,435.62
2005-03,428.45
2005-04,434.88
2005-05,417.35
2005-06,435.25
2005-07,430.2
2005-08,435.25
2005-09,469.15
2005-10,465.2
2005-11,493.85
2005-12,517.6
2006-01,568.95
2006-02,561.75
2006-03,583.65
2006-04,654.5
2006-05,643.7
2006-06,613.1
2006-07,634.58
2006-08,626.9
2006-09,598.3
2006-10,606.6
2006-11,648.3
2006-12,636.8
2007-01,653.2
2007-02,669.95
2007-03,663.6
2007-04,678.25
2007-05,660.95
2007-06,649.65
2007-07,663.5
2007-08,673.0
2007-09,744.1
2007-10,796.2
2007-11,782.9
2007-12,833.6
2008-01,925.62
2008-02,972.48
2008-03,915.7
2008-04,870.95
2008-05,886.9
2008-06,925.1
2008-07,913.85
2008-08,830.8
2008-09,871.95
2008-10,725.05
2008-11,817.5
2008-12,880.2
2009-01,927.75
2009-02,945.15
2009-03,918.15
2009-04,886.5
2009-05,980.0
2009-06,926.85
2009-07,954.75
2009-08,951.15
2009-09,1007.7
2009-10,1044.9
2009-11,1178.85
2009-12,1096.2
2010-01,1081.55
2010-02,1116.5
2010-03,1113.8
2010-04,1179.25
2010-05,1216.21
2010-06,1242.35
2010-07,1180.9
2010-08,1247.65
2010-09,1309.5
2010-10,1359.55
2010-11,1384.85
2010-12,1421.45
2011-01,1332.19
2011-02,1411.65
2011-03,1432.0
2011-04,1565.6
2011-05,1535.35
2011-06,1500.1
2011-07,1626.64
2011-08,1823.8
2011-09,1623.75
2011-10,1715.25
2011-11,1745.7
2011-12,1564.3
2012-01,1739.43
2012-02,1695.2
2012-03,1668.9
2012-04,1664.36
2012-05,1560.7
2012-06,1598.6
2012-07,1613.9
2012-08,1691.15
2012-09,1771.22
2012-10,1720.55
2012-11,1714.4
2012-12,1674.34
2013-01,1662.99
2013-02,1579.76
2013-03,1596.17
2013-04,1476.6
2013-05,1386.4
2013-06,1233.14
2013-07,1322.49
2013-08,1395.69
2013-09,1326.94
2013-10,1323.19
2013-11,1251.99
2013-12,1204.94
2014-01,1243.19
2014-02,1325.79
2014-03,1283.64
2014-04,1291.29
2014-05,1250.69
2014-06,1327.19
2014-07,1282.09
2014-08,1287.07
2014-09,1208.74
2014-10,1173.92
2014-11,1167.04
2014-12,1183.55
2015-01,1282.8
2015-02,1212.55
2015-03,1183.1
2015-04,1183.85
2015-05,1189.75
2015-06,1172.2
2015-07,1095.4
2015-08,1134.1
2015-09,1114.6
2015-10,1142.0
2015-11,1064.02
2015-12,1060.91
2016-01,1117.64
2016-02,1237.76
2016-03,1231.95
2016-04,1293.36
2016-05,1214.69
2016-06,1321.78
2016-07,1350.59
2016-08,1308.45
2016-09,1315.8
2016-10,1277.28
2016-11,1172.7
2016-12,1151.46
2017-01,1210.51
2017-02,1248.52
2017-03,1248.63
2017-04,1267.65
2017-05,1268.09
2017-06,1241.2
2017-07,1269.05
2017-08,1321.6
2017-09,1279.1
2017-10,1271.2
2017-11,1274.36
2017-12,1302.45
2018-01,1344.7
2018-02,1317.66
2018-03,1324.0
2018-04,1314.95
2018-05,1297.92
2018-06,1252.25
2018-07,1223.41
2018-08,1200.71
2018-09,1191.69
2018-10,1214.14
2018-11,1221.88
2018-12,1282.73
2019-01,1320.56
2019-02,1312.66
2019-03,1291.9
2019-04,1283.35
2019-05,1305.25
2019-06,1409.1
2019-07,1413.55
2019-08,1519.85
2019-09,1472.0
2019-10,1513.16
2019-11,1463.9
2019-12,1517.01
2020-01,1589.81
2020-02,1584.74
2020-03,1571.05
2020-04,1680.09
2020-05,1726.3
2020-06,1780.67
2020-07,1974.69
2020-08,1969.75
2020-09,1885.44
2020-10,1877.95
2020-11,1777.02
2020-12,1896.49
2021-01,1846.09
2021-02,1733.49
2021-03,1707.01
2021-04,1768.59
2021-05,1906.36
2021-06,1769.8
2021-07,1813.58
2021-08,1813.43
2021-09,1756.66
2021-10,1782.81
2021-11,1773.78
2021-12,1828.39
2022-01,1796.47
2022-02,1907.9
2022-03,1937.23
2022-04,1896.4
2022-05,1837.09
2022-06,1806.89
2022-07,1765.22
2022-08,1710.7
2022-09,1659.67
2022-10,1633.12
2022-11,1768.45
2022-12,1824.4
2023-01,1927.88
2023-02,1827.15
2023-03,1967.9
2023-04,1989.65
2023-05,1962.3
2023-06,1919.57
2023-07,1964.19
2023-08,1939.74
2023-09,1848.31
2023-10,1982.7
2023-11,2035.75
2023-12,2062.59
2024-01,2037.19
2024-02,2043.24
2024-03,2232.38
2024-04,2285.57
2024-05,2326.97
2024-06,2325.71
2024-07,2448.1
2024-08,2503.03
2024-09,2634.49
2024-10,2743.8
2024-11,2653.55
2024-12,2623.81
2025-01,2801.18
2025-02,2858.77
2025-03,3123.35
2025-04,3288.59
2025-05,3289.4
2025-06,3303.69
2025-07,3324.61
